spid,sl3bedtime1,sl3bedtime2,sl3bedtime3,sl3morning1,sl3morning2,sl3morning3
10000348,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000349,2,0,1:00 AM,8,0,1:00 AM
10000350,,,,,,
10000351,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000352,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000354,10,30,2:00 PM,6,0,1:00 AM
10000356,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000357,,,,,,
10000358,11,0,2:00 PM,8,0,1:00 AM
10000359,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000361,,,,,,
10000362,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000364,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000366,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000368,9,0,2:00 PM,5,30,1:00 AM
10000369,,,,,,
10000370,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000371,,,,,,
10000372,12,30,1:00 AM,9,30,1:00 AM
10000373,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000374,,,,,,
10000375,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000376,11,0,2:00 PM,6,0,1:00 AM
10000377,,,,,,
10000378,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000379,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000380,,,,,,
10000382,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10000383,11,30,2:00 PM,6,0,1:00 AM
10000384,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000385,10,0,2:00 PM,6,45,1:00 AM
10000386,10,10,2:00 PM,6,0,1:00 AM
10000387,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000388,,,,,,
10000389,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000390,,,,,,
10000391,12,0,1:00 AM,95 NO USUAL TIME OR DIFFERENT FROM DAY TO DAY,-1 Inapplicable,-1 Inapplicable
10000393,,,,,,
10000395,,,,,,
10000396,-8 DK,-1 Inapplicable,-1 Inapplicable,-8 DK,-1 Inapplicable,-1 Inapplicable
10000400,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000401,1,0,1:00 AM,10,0,1:00 AM
10000402,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000403,10,30,2:00 PM,5,30,1:00 AM
10000404,,,,,,
10000405,,,,,,
10000406,,,,,,
10000408,,,,,,
10000409,95 NO USUAL TIME OR DIFFERENT FROM NIGHT TO NIGHT,-1 Inapplicable,-1 Inapplicable,6,0,1:00 AM
10000410,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000412,,,,,,
10000413,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000414,,,,,,
10000415,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000416,,,,,,
10000417,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000418,95 NO USUAL TIME OR DIFFERENT FROM NIGHT TO NIGHT,-1 Inapplicable,-1 Inapplicable,95 NO USUAL TIME OR DIFFERENT FROM DAY TO DAY,-1 Inapplicable,-1 Inapplicable
10000420,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000421,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000422,,,,,,
10000423,,,,,,
10000425,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000426,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000427,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000428,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000429,,,,,,
10000430,,,,,,
10000431,,,,,,
10000433,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000434,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000435,7,0,2:00 PM,8,0,1:00 AM
10000436,,,,,,
10000437,,,,,,
10000438,,,,,,
10000439,11,30,2:00 PM,7,0,1:00 AM
10000440,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000441,,,,,,
10000442,,,,,,
10000444,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000446,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000449,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000452,11,30,2:00 PM,10,0,1:00 AM
10000453,,,,,,
10000455,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000462,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000464,,,,,,
10000465,11,0,2:00 PM,6,0,1:00 AM
10000466,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000467,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000468,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000469,,,,,,
10000470,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000473,,,,,,
